,movieId,imdbId,tmdbId,youtubeId,title,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,year,full_link,views,dates,likes,dislikes
2560,49910,463998,1646.0,MT0L1U-Rdj4,Freedom Writers (2007),Color,Richard LaGravenese,84.0,123.0,98.0,579.0,Scott Glenn,2000.0,36581633.0,Biography|Crime|Drama,Hunter Parrish,Freedom Writers ,52533,3994,Imelda Staunton,1.0,gang violence|high school|journal|marriage|teacher,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,235.0,English,Germany,PG-13,21000000.0,2007.0,826.0,7.5,1.85,10000,2007,https://www.youtube.com/watch?v=MT0L1U-Rdj4,1164879,2007413,2230,69
2568,50149,308353,5393.0,wHM6fNDKdu4,Happily N'Ever After (2007),Color,Paul Bolger,93.0,75.0,0.0,677.0,George Carlin,4000.0,15519841.0,Adventure|Animation|Comedy|Family|Fantasy,Sarah Michelle Gellar,Happily N'Ever After ,8693,6863,Rob Paulsen,3.0,apostrophe in title|cinderella|first of series|punctuation in title|three word title,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,71.0,English,USA,PG,47000000.0,2006.0,769.0,4.5,1.85,261,2007,https://www.youtube.com/watch?v=wHM6fNDKdu4,199307,2009727,383,62
2569,50153,462229,14396.0,QDRlvUbA-s4,Code Name: The Cleaner (2007),Color,Les Mayfield,53.0,91.0,10.0,436.0,Will Patton,716.0,8104069.0,Action|Comedy|Crime,Callum Rennie,Code Name: The Cleaner ,9785,2700,Cedric the Entertainer,3.0,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,26.0,English,USA,PG-13,20000000.0,2007.0,537.0,4.5,1.85,233,2007,https://www.youtube.com/watch?v=QDRlvUbA-s4,228309,201018,177,11
2570,50158,775539,1931.0,hvLzhK7Vatw,Stomp the Yard (2007),Color,Sylvain White,86.0,109.0,41.0,748.0,Laz Alonso,997.0,61356221.0,Drama|Music|Romance,Chris Brown,Stomp the Yard ,19505,3544,Harry Lennix,0.0,atlanta georgia|competition|dancer|death|fraternity,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,162.0,English,USA,PG-13,14000000.0,2007.0,826.0,5.2,2.35,0,2007,https://www.youtube.com/watch?v=hvLzhK7Vatw,3941367,2006925,4648,265
2572,50162,344854,9992.0,4jIF7IVddqA,Arthur and the Invisibles (2007),Color,Luc Besson,101.0,94.0,0.0,14.0,Adam LeFevre,563.0,15131330.0,Adventure|Animation|Family|Fantasy,Mia Farrow,Arthur and the Invisibles ,25843,683,Penny Balfour,0.0,boy|debt|garden|princess|treasure,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,64.0,English,France,PG,86000000.0,2006.0,80.0,6.0,2.35,941,2007,https://www.youtube.com/watch?v=4jIF7IVddqA,11422,201076,3,1
2577,50601,398808,1265.0,T2TDSEG57hI,Bridge to Terabithia (2007),Color,Gabor Csupo,181.0,96.0,47.0,3000.0,Zooey Deschanel,14000.0,82234139.0,Adventure|Drama|Family|Fantasy,Josh Hutcherson,Bridge to Terabithia ,110390,28071,Bailee Madison,3.0,bully|friend|imagination|reality|troll,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,522.0,English,USA,PG,17000000.0,2007.0,11000.0,7.2,1.85,6000,2007,https://www.youtube.com/watch?v=T2TDSEG57hI,1249414,2009130,5948,170
2579,50685,473308,10758.0,hvus7pXX2Ew,Waitress (2007),Color,Adrienne Shelly,173.0,108.0,191.0,336.0,Cheryl Hines,597.0,19067631.0,Comedy|Drama|Romance,Lew Temple,Waitress ,37714,1981,Eddie Jemison,1.0,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204.0,English,USA,PG-13,2000000.0,2007.0,541.0,7.1,1.85,0,2007,https://www.youtube.com/watch?v=hvus7pXX2Ew,85965,201412,391,5
2581,50796,397044,10075.0,kZ8IEzI86Ro,Blood and Chocolate (2007),Color,Katja von Garnier,106.0,98.0,18.0,220.0,Agnes Bruckner,837.0,3525161.0,Drama|Fantasy|Horror|Romance,Olivier Martinez,Blood and Chocolate ,15388,1675,Chris Geere,0.0,colorado|love|murder|rocky mountains|werewolf,http://www.imdb.com/title/tt0397044/?ref_=fn_tt_tt_1,190.0,English,USA,PG-13,,2007.0,400.0,5.5,2.35,0,2007,https://www.youtube.com/watch?v=kZ8IEzI86Ro,321580,2006125,660,29
2582,50798,799949,9760.0,K8yIVA1QzLg,Epic Movie (2007),Color,Jason Friedberg,112.0,93.0,82.0,729.0,Carmen Electra,926.0,39737645.0,Adventure|Comedy,David Carradine,Epic Movie ,89687,4293,Fred Willard,11.0,chocolate|chocolate factory|factory|orphan|student,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,666.0,English,USA,PG-13,20000000.0,2007.0,869.0,2.3,1.85,0,2007,https://www.youtube.com/watch?v=K8yIVA1QzLg,NaN,NaN,NaN,NaN
2583,50802,490084,1257.0,aUE8gHEPJ_I,Because I Said So (2007),Color,Michael Lehmann,110.0,102.0,36.0,433.0,Stephen Collins,747.0,42640890.0,Comedy|Romance,Colin Ferguson,Because I Said So ,32412,1930,Tom Everett Scott,1.0,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,184.0,English,USA,PG-13,,2007.0,452.0,5.6,1.85,0,2007,https://www.youtube.com/watch?v=aUE8gHEPJ_I,802909,2007614,669,42
